txn_id,date,period,doc_type,doc_id,gl_account,gl_account_name,statement_section,counterparty_id,counterparty_name,counterparty_type,segment,category,sku,description,quantity,unit_price,amount,signed_amount,memo
TXN-0000015,2024-09-27,2024-09,INVOICE,SO-202409-00001,4000,Product Revenue,Revenue,CUST-001,Copper Fork Group,customer,Restaurant Group,Janitorial & Chemicals,SKU-1046,Trash Liner Case,28,152.8992,4281.18,4281.18,
TXN-0000016,2024-09-27,2024-09,INVOICE,SO-202409-00001,5000,Product COGS,COGS,VEND-006,Clearline Chemical Co,vendor,Restaurant Group,Janitorial & Chemicals,SKU-1046,COGS - Trash Liner Case,28,93.718,2624.11,-2624.11,
TXN-0000017,2024-09-27,2024-09,INVOICE,SO-202409-00001,4000,Product Revenue,Revenue,CUST-001,Copper Fork Group,customer,Restaurant Group,Disposables,SKU-1037,Glove Case,124,56.3612,6988.78,6988.78,
TXN-0000018,2024-09-27,2024-09,INVOICE,SO-202409-00001,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1037,COGS - Glove Case,124,37.6044,4662.94,-4662.94,
TXN-0000019,2024-09-27,2024-09,INVOICE,SO-202409-00001,4000,Product Revenue,Revenue,CUST-001,Copper Fork Group,customer,Restaurant Group,Disposables,SKU-1038,Deli Paper,54,37.2421,2011.08,2011.08,
TXN-0000020,2024-09-27,2024-09,INVOICE,SO-202409-00001,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1038,COGS - Deli Paper,54,24.6763,1332.52,-1332.52,
TXN-0000021,2024-09-27,2024-09,INVOICE,SO-202409-00001,4000,Product Revenue,Revenue,CUST-001,Copper Fork Group,customer,Restaurant Group,Smallwares,SKU-1023,Sauce Pan,63,113.6828,7162.01,7162.01,
TXN-0000022,2024-09-27,2024-09,INVOICE,SO-202409-00001,5000,Product COGS,COGS,VEND-004,Halverson Smallwares,vendor,Restaurant Group,Smallwares,SKU-1023,COGS - Sauce Pan,63,66.9114,4215.42,-4215.42,
TXN-0000023,2024-09-27,2024-09,INVOICE,SO-202409-00001,4000,Product Revenue,Revenue,CUST-001,Copper Fork Group,customer,Restaurant Group,Smallwares,SKU-1030,Whisk,39,103.6698,4043.12,4043.12,
TXN-0000024,2024-09-27,2024-09,INVOICE,SO-202409-00001,5000,Product COGS,COGS,VEND-004,Halverson Smallwares,vendor,Restaurant Group,Smallwares,SKU-1030,COGS - Whisk,39,60.6977,2367.21,-2367.21,
TXN-0000025,2024-09-27,2024-09,INVOICE,SO-202409-00001,4000,Product Revenue,Revenue,CUST-001,Copper Fork Group,customer,Restaurant Group,Cooking Equipment,SKU-1009,Six-Burner Range,1,2390.7206,2390.72,2390.72,
TXN-0000026,2024-09-27,2024-09,INVOICE,SO-202409-00001,5000,Product COGS,COGS,VEND-002,Kettleworks Manufacturing,vendor,Restaurant Group,Cooking Equipment,SKU-1009,COGS - Six-Burner Range,1,1844.1271,1844.13,-1844.13,
TXN-0000027,2024-09-27,2024-09,INVOICE,SO-202409-00001,4000,Product Revenue,Revenue,CUST-001,Copper Fork Group,customer,Restaurant Group,Cooking Equipment,SKU-1009,Six-Burner Range,2,2454.4614,4908.92,4908.92,
TXN-0000028,2024-09-27,2024-09,INVOICE,SO-202409-00001,5000,Product COGS,COGS,VEND-002,Kettleworks Manufacturing,vendor,Restaurant Group,Cooking Equipment,SKU-1009,COGS - Six-Burner Range,2,1936.861,3873.72,-3873.72,
TXN-0000029,2024-09-27,2024-09,INVOICE,SO-202409-00001,4000,Product Revenue,Revenue,CUST-001,Copper Fork Group,customer,Restaurant Group,Smallwares,SKU-1030,Whisk,21,110.0795,2311.67,2311.67,
TXN-0000030,2024-09-27,2024-09,INVOICE,SO-202409-00001,5000,Product COGS,COGS,VEND-004,Halverson Smallwares,vendor,Restaurant Group,Smallwares,SKU-1030,COGS - Whisk,21,65.591,1377.41,-1377.41,
TXN-0000031,2024-09-29,2024-09,INVOICE,SO-202409-00002,4000,Product Revenue,Revenue,CUST-002,Harborline Hospitality,customer,Hotel & Hospitality,Janitorial & Chemicals,SKU-1045,Mop Head,58,165.5185,9600.07,9600.07,
TXN-0000032,2024-09-29,2024-09,INVOICE,SO-202409-00002,5000,Product COGS,COGS,VEND-006,Clearline Chemical Co,vendor,Hotel & Hospitality,Janitorial & Chemicals,SKU-1045,COGS - Mop Head,58,101.3854,5880.35,-5880.35,
TXN-0000033,2024-09-29,2024-09,INVOICE,SO-202409-00002,4000,Product Revenue,Revenue,CUST-002,Harborline Hospitality,customer,Hotel & Hospitality,Disposables,SKU-1035,Paper Cup Sleeve,106,27.6369,2929.51,2929.51,
TXN-0000034,2024-09-29,2024-09,INVOICE,SO-202409-00002,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Hotel & Hospitality,Disposables,SKU-1035,COGS - Paper Cup Sleeve,106,18.4294,1953.52,-1953.52,
TXN-0000035,2024-09-29,2024-09,INVOICE,SO-202409-00002,4000,Product Revenue,Revenue,CUST-002,Harborline Hospitality,customer,Hotel & Hospitality,Janitorial & Chemicals,SKU-1041,Degreaser Concentrate,65,31.3393,2037.06,2037.06,
TXN-0000036,2024-09-29,2024-09,INVOICE,SO-202409-00002,5000,Product COGS,COGS,VEND-006,Clearline Chemical Co,vendor,Hotel & Hospitality,Janitorial & Chemicals,SKU-1041,COGS - Degreaser Concentrate,65,19.6551,1277.58,-1277.58,
TXN-0000037,2024-09-29,2024-09,INVOICE,SO-202409-00002,4000,Product Revenue,Revenue,CUST-002,Harborline Hospitality,customer,Hotel & Hospitality,Refrigeration,SKU-1003,Walk-In Cooler Panel,4,6564.5411,26258.16,26258.16,
TXN-0000038,2024-09-29,2024-09,INVOICE,SO-202409-00002,5000,Product COGS,COGS,VEND-001,Northline Cold Systems,vendor,Hotel & Hospitality,Refrigeration,SKU-1003,COGS - Walk-In Cooler Panel,4,5018.9946,20075.98,-20075.98,
TXN-0000039,2024-09-29,2024-09,INVOICE,SO-202409-00002,4000,Product Revenue,Revenue,CUST-002,Harborline Hospitality,customer,Hotel & Hospitality,Smallwares,SKU-1030,Whisk,47,101.9531,4791.8,4791.8,
TXN-0000040,2024-09-29,2024-09,INVOICE,SO-202409-00002,5000,Product COGS,COGS,VEND-004,Halverson Smallwares,vendor,Hotel & Hospitality,Smallwares,SKU-1030,COGS - Whisk,47,59.87,2813.89,-2813.89,
TXN-0000041,2024-09-29,2024-09,INVOICE,SO-202409-00002,4000,Product Revenue,Revenue,CUST-002,Harborline Hospitality,customer,Hotel & Hospitality,Cooking Equipment,SKU-1009,Six-Burner Range,2,2667.06,5334.12,5334.12,
TXN-0000042,2024-09-29,2024-09,INVOICE,SO-202409-00002,5000,Product COGS,COGS,VEND-002,Kettleworks Manufacturing,vendor,Hotel & Hospitality,Cooking Equipment,SKU-1009,COGS - Six-Burner Range,2,2090.3968,4180.79,-4180.79,
TXN-0000043,2024-09-29,2024-09,INVOICE,SO-202409-00002,4000,Product Revenue,Revenue,CUST-002,Harborline Hospitality,customer,Hotel & Hospitality,Smallwares,SKU-1029,Cutting Board,46,30.2011,1389.25,1389.25,
TXN-0000044,2024-09-29,2024-09,INVOICE,SO-202409-00002,5000,Product COGS,COGS,VEND-004,Halverson Smallwares,vendor,Hotel & Hospitality,Smallwares,SKU-1029,COGS - Cutting Board,46,17.9357,825.04,-825.04,
TXN-0000045,2024-09-29,2024-09,INVOICE,SO-202409-00002,4000,Product Revenue,Revenue,CUST-002,Harborline Hospitality,customer,Hotel & Hospitality,Smallwares,SKU-1025,Chef Knife,77,70.8443,5455.01,5455.01,
TXN-0000046,2024-09-29,2024-09,INVOICE,SO-202409-00002,5000,Product COGS,COGS,VEND-004,Halverson Smallwares,vendor,Hotel & Hospitality,Smallwares,SKU-1025,COGS - Chef Knife,77,42.2323,3251.88,-3251.88,
TXN-0000047,2024-09-29,2024-09,INVOICE,SO-202409-00002,4000,Product Revenue,Revenue,CUST-002,Harborline Hospitality,customer,Hotel & Hospitality,Cooking Equipment,SKU-1015,Induction Range,3,5571.3977,16714.19,16714.19,
TXN-0000048,2024-09-29,2024-09,INVOICE,SO-202409-00002,5000,Product COGS,COGS,VEND-002,Kettleworks Manufacturing,vendor,Hotel & Hospitality,Cooking Equipment,SKU-1015,COGS - Induction Range,3,4355.0842,13065.25,-13065.25,
TXN-0000049,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Smallwares,SKU-1028,Hotel Pan,53,121.8501,6458.06,6458.06,
TXN-0000050,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-004,Halverson Smallwares,vendor,Restaurant Group,Smallwares,SKU-1028,COGS - Hotel Pan,53,72.1218,3822.46,-3822.46,
TXN-0000051,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Disposables,SKU-1039,Straw Case,135,53.7132,7251.28,7251.28,
TXN-0000052,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1039,COGS - Straw Case,135,35.5117,4794.08,-4794.08,
TXN-0000053,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Smallwares,SKU-1025,Chef Knife,27,74.1046,2000.82,2000.82,
TXN-0000054,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-004,Halverson Smallwares,vendor,Restaurant Group,Smallwares,SKU-1025,COGS - Chef Knife,27,43.7131,1180.25,-1180.25,
TXN-0000055,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Disposables,SKU-1034,Napkin Case,30,65.1234,1953.7,1953.7,
TXN-0000056,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1034,COGS - Napkin Case,30,42.8926,1286.78,-1286.78,
TXN-0000057,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Janitorial & Chemicals,SKU-1041,Degreaser Concentrate,51,32.8763,1676.69,1676.69,
TXN-0000058,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-006,Clearline Chemical Co,vendor,Restaurant Group,Janitorial & Chemicals,SKU-1041,COGS - Degreaser Concentrate,51,20.0859,1024.38,-1024.38,
TXN-0000059,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Disposables,SKU-1035,Paper Cup Sleeve,51,29.441,1501.49,1501.49,
TXN-0000060,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1035,COGS - Paper Cup Sleeve,51,19.3941,989.1,-989.1,
TXN-0000061,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Disposables,SKU-1040,Portion Cup,78,55.3565,4317.8,4317.8,
TXN-0000062,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1040,COGS - Portion Cup,78,36.8002,2870.42,-2870.42,
TXN-0000063,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Disposables,SKU-1034,Napkin Case,105,70.1558,7366.36,7366.36,
TXN-0000064,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1034,COGS - Napkin Case,105,46.9104,4925.59,-4925.59,
TXN-0000065,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Disposables,SKU-1033,Takeout Container,117,41.2878,4830.68,4830.68,
TXN-0000066,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1033,COGS - Takeout Container,117,26.9714,3155.66,-3155.66,
TXN-0000067,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Smallwares,SKU-1027,Tongs,18,124.4496,2240.09,2240.09,
TXN-0000068,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-004,Halverson Smallwares,vendor,Restaurant Group,Smallwares,SKU-1027,COGS - Tongs,18,74.5215,1341.39,-1341.39,
TXN-0000069,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Disposables,SKU-1033,Takeout Container,114,42.8243,4881.97,4881.97,
TXN-0000070,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1033,COGS - Takeout Container,114,27.9362,3184.73,-3184.73,
TXN-0000071,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Disposables,SKU-1035,Paper Cup Sleeve,77,26.8365,2066.41,2066.41,
TXN-0000072,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1035,COGS - Paper Cup Sleeve,77,17.6039,1355.5,-1355.5,
TXN-0000073,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Disposables,SKU-1037,Glove Case,26,54.3239,1412.42,1412.42,
TXN-0000074,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1037,COGS - Glove Case,26,35.9882,935.69,-935.69,
TXN-0000075,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Disposables,SKU-1038,Deli Paper,97,32.9924,3200.26,3200.26,
TXN-0000076,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1038,COGS - Deli Paper,97,22.0835,2142.1,-2142.1,
TXN-0000077,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Disposables,SKU-1039,Straw Case,43,55.2944,2377.66,2377.66,
TXN-0000078,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1039,COGS - Straw Case,43,35.9933,1547.71,-1547.71,
TXN-0000079,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Disposables,SKU-1040,Portion Cup,92,53.5744,4928.85,4928.85,
TXN-0000080,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1040,COGS - Portion Cup,92,35.7953,3293.17,-3293.17,
TXN-0000081,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Disposables,SKU-1033,Takeout Container,114,44.4112,5062.87,5062.87,
TXN-0000082,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1033,COGS - Takeout Container,114,29.199,3328.68,-3328.68,
TXN-0000083,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Janitorial & Chemicals,SKU-1042,Sanitizer Tablets,20,62.7072,1254.14,1254.14,
TXN-0000084,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-006,Clearline Chemical Co,vendor,Restaurant Group,Janitorial & Chemicals,SKU-1042,COGS - Sanitizer Tablets,20,39.1079,782.16,-782.16,
TXN-0000085,2024-09-06,2024-09,INVOICE,SO-202409-00003,4000,Product Revenue,Revenue,CUST-003,Vaughn & Sons Restaurant Co,customer,Restaurant Group,Smallwares,SKU-1030,Whisk,15,111.8933,1678.4,1678.4,
TXN-0000086,2024-09-06,2024-09,INVOICE,SO-202409-00003,5000,Product COGS,COGS,VEND-004,Halverson Smallwares,vendor,Restaurant Group,Smallwares,SKU-1030,COGS - Whisk,15,66.4444,996.67,-996.67,
TXN-0000087,2024-09-08,2024-09,INVOICE,SO-202409-00004,4000,Product Revenue,Revenue,CUST-004,Meridian Public Schools,customer,Institutional,Disposables,SKU-1040,Portion Cup,91,53.4482,4863.78,4863.78,
TXN-0000088,2024-09-08,2024-09,INVOICE,SO-202409-00004,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Institutional,Disposables,SKU-1040,COGS - Portion Cup,91,35.6614,3245.19,-3245.19,
TXN-0000089,2024-09-08,2024-09,INVOICE,SO-202409-00004,4000,Product Revenue,Revenue,CUST-004,Meridian Public Schools,customer,Institutional,Disposables,SKU-1036,Foil Roll,84,30.8757,2593.56,2593.56,
TXN-0000090,2024-09-08,2024-09,INVOICE,SO-202409-00004,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Institutional,Disposables,SKU-1036,COGS - Foil Roll,84,20.4737,1719.79,-1719.79,
TXN-0000091,2024-09-08,2024-09,INVOICE,SO-202409-00004,4000,Product Revenue,Revenue,CUST-004,Meridian Public Schools,customer,Institutional,Janitorial & Chemicals,SKU-1042,Sanitizer Tablets,12,62.2445,746.93,746.93,
TXN-0000092,2024-09-08,2024-09,INVOICE,SO-202409-00004,5000,Product COGS,COGS,VEND-006,Clearline Chemical Co,vendor,Institutional,Janitorial & Chemicals,SKU-1042,COGS - Sanitizer Tablets,12,38.9562,467.47,-467.47,
TXN-0000093,2024-09-08,2024-09,INVOICE,SO-202409-00004,4000,Product Revenue,Revenue,CUST-004,Meridian Public Schools,customer,Institutional,Cooking Equipment,SKU-1014,Combi Oven,1,872.0335,872.03,872.03,
TXN-0000094,2024-09-08,2024-09,INVOICE,SO-202409-00004,5000,Product COGS,COGS,VEND-002,Kettleworks Manufacturing,vendor,Institutional,Cooking Equipment,SKU-1014,COGS - Combi Oven,1,683.5146,683.51,-683.51,
TXN-0000095,2024-09-08,2024-09,INVOICE,SO-202409-00004,4000,Product Revenue,Revenue,CUST-004,Meridian Public Schools,customer,Institutional,Disposables,SKU-1037,Glove Case,125,57.7875,7223.44,7223.44,
TXN-0000096,2024-09-08,2024-09,INVOICE,SO-202409-00004,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Institutional,Disposables,SKU-1037,COGS - Glove Case,125,38.6304,4828.8,-4828.8,
TXN-0000097,2024-09-08,2024-09,INVOICE,SO-202409-00004,4000,Product Revenue,Revenue,CUST-004,Meridian Public Schools,customer,Institutional,Disposables,SKU-1034,Napkin Case,71,72.0685,5116.86,5116.86,
TXN-0000098,2024-09-08,2024-09,INVOICE,SO-202409-00004,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Institutional,Disposables,SKU-1034,COGS - Napkin Case,71,47.9194,3402.28,-3402.28,
TXN-0000099,2024-09-08,2024-09,INVOICE,SO-202409-00004,4000,Product Revenue,Revenue,CUST-004,Meridian Public Schools,customer,Institutional,Smallwares,SKU-1028,Hotel Pan,69,129.2755,8920.01,8920.01,
TXN-0000100,2024-09-08,2024-09,INVOICE,SO-202409-00004,5000,Product COGS,COGS,VEND-004,Halverson Smallwares,vendor,Institutional,Smallwares,SKU-1028,COGS - Hotel Pan,69,77.1004,5319.93,-5319.93,
TXN-0000101,2024-09-08,2024-09,INVOICE,SO-202409-00004,4000,Product Revenue,Revenue,CUST-004,Meridian Public Schools,customer,Institutional,Cooking Equipment,SKU-1012,Deep Fryer,1,4218.4812,4218.48,4218.48,
TXN-0000102,2024-09-08,2024-09,INVOICE,SO-202409-00004,5000,Product COGS,COGS,VEND-002,Kettleworks Manufacturing,vendor,Institutional,Cooking Equipment,SKU-1012,COGS - Deep Fryer,1,3258.2502,3258.25,-3258.25,
TXN-0000103,2024-09-08,2024-09,INVOICE,SO-202409-00004,4000,Product Revenue,Revenue,CUST-004,Meridian Public Schools,customer,Institutional,Janitorial & Chemicals,SKU-1042,Sanitizer Tablets,66,60.9933,4025.56,4025.56,
TXN-0000104,2024-09-08,2024-09,INVOICE,SO-202409-00004,5000,Product COGS,COGS,VEND-006,Clearline Chemical Co,vendor,Institutional,Janitorial & Chemicals,SKU-1042,COGS - Sanitizer Tablets,66,37.3077,2462.31,-2462.31,
TXN-0000105,2024-09-08,2024-09,INVOICE,SO-202409-00004,4000,Product Revenue,Revenue,CUST-004,Meridian Public Schools,customer,Institutional,Disposables,SKU-1039,Straw Case,127,59.2386,7523.3,7523.3,
TXN-0000106,2024-09-08,2024-09,INVOICE,SO-202409-00004,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Institutional,Disposables,SKU-1039,COGS - Straw Case,127,38.6513,4908.71,-4908.71,
TXN-0000107,2024-09-08,2024-09,INVOICE,SO-202409-00004,4000,Product Revenue,Revenue,CUST-004,Meridian Public Schools,customer,Institutional,Smallwares,SKU-1025,Chef Knife,11,78.3929,862.32,862.32,
TXN-0000108,2024-09-08,2024-09,INVOICE,SO-202409-00004,5000,Product COGS,COGS,VEND-004,Halverson Smallwares,vendor,Institutional,Smallwares,SKU-1025,COGS - Chef Knife,11,46.0909,507.0,-507.0,
TXN-0000109,2024-09-08,2024-09,INVOICE,SO-202409-00004,4000,Product Revenue,Revenue,CUST-004,Meridian Public Schools,customer,Institutional,Janitorial & Chemicals,SKU-1046,Trash Liner Case,58,157.8396,9154.69,9154.69,
TXN-0000110,2024-09-08,2024-09,INVOICE,SO-202409-00004,5000,Product COGS,COGS,VEND-006,Clearline Chemical Co,vendor,Institutional,Janitorial & Chemicals,SKU-1046,COGS - Trash Liner Case,58,97.826,5673.91,-5673.91,
TXN-0000111,2024-09-08,2024-09,INVOICE,SO-202409-00004,4000,Product Revenue,Revenue,CUST-004,Meridian Public Schools,customer,Institutional,Beverage Equipment,SKU-1021,Water Filtration Unit,3,2952.0431,8856.13,8856.13,
TXN-0000112,2024-09-08,2024-09,INVOICE,SO-202409-00004,5000,Product COGS,COGS,VEND-003,Aurelio Beverage Systems,vendor,Institutional,Beverage Equipment,SKU-1021,COGS - Water Filtration Unit,3,2188.4257,6565.28,-6565.28,
TXN-0000113,2024-09-18,2024-09,INVOICE,SO-202409-00005,4000,Product Revenue,Revenue,CUST-005,Bright Harbor Hotels,customer,Hotel & Hospitality,Disposables,SKU-1039,Straw Case,127,52.9568,6725.51,6725.51,
TXN-0000114,2024-09-18,2024-09,INVOICE,SO-202409-00005,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Hotel & Hospitality,Disposables,SKU-1039,COGS - Straw Case,127,34.5926,4393.26,-4393.26,
