invoice_id,customer_id,customer_name,segment,issue_date,terms,due_date,amount,paid_date,days_late
SO-202409-00054,CUST-001,Copper Fork Group,Restaurant Group,2024-09-25,Net 45,2024-11-09,369619.23,2024-11-14,5
SO-202410-00055,CUST-001,Copper Fork Group,Restaurant Group,2024-10-08,Net 45,2024-11-22,93900.66,2024-11-28,6
SO-202410-00056,CUST-002,Harborline Hospitality,Hotel & Hospitality,2024-10-05,Net 30,2024-11-04,82153.92,2024-11-05,1
SO-202410-00057,CUST-003,Vaughn & Sons Restaurant Co,Restaurant Group,2024-10-04,Net 45,2024-11-18,62889.84,2024-11-20,2
SO-202410-00058,CUST-004,Meridian Public Schools,Institutional,2024-10-11,Net 60,2024-12-10,55057.65,2024-12-25,15
SO-202410-00059,CUST-005,Bright Harbor Hotels,Hotel & Hospitality,2024-10-06,Net 30,2024-11-05,52989.68,2024-11-06,1
SO-202410-00060,CUST-006,Ridgeline Kitchens Group,Restaurant Group,2024-10-17,Net 30,2024-11-16,70980.09,2024-11-26,10
SO-202410-00061,CUST-007,Ashgrove Dining Partners,Restaurant Group,2024-10-03,Net 45,2024-11-17,53381.24,2024-11-21,4
SO-202410-00062,CUST-008,Northfield Medical Center,Institutional,2024-10-01,Net 60,2024-11-30,40792.69,2024-12-09,9
SO-202410-00063,CUST-009,Stonecrest Resale Supply,Distributor Resale,2024-10-25,Net 30,2024-11-24,47380.78,2024-11-30,6
SO-202410-00064,CUST-010,Lakeside Catering Co,Independent Restaurant,2024-10-10,Net 30,2024-11-09,36571.4,2024-11-18,9
SO-202410-00065,CUST-011,Sutton Kitchen,Institutional,2024-10-16,Net 45,2024-11-30,22434.72,2024-12-10,10
SO-202410-00066,CUST-012,Pendry Bistro,Institutional,2024-10-25,Net 45,2024-12-09,32464.36,2024-12-14,5
SO-202410-00067,CUST-013,Brackley Public House,Restaurant Group,2024-10-11,Net 15,2024-10-26,59977.76,2024-11-02,7
SO-202410-00068,CUST-014,Sutton Dining Co,Hotel & Hospitality,2024-10-13,Net 30,2024-11-12,20865.34,2024-11-24,12
SO-202410-00069,CUST-015,Pelham Dining Co,Restaurant Group,2024-10-16,Net 15,2024-10-31,38333.47,2024-10-28,-3
SO-202410-00070,CUST-016,Marbury Food Hall,Restaurant Group,2024-10-23,Net 30,2024-11-22,30800.15,2024-12-01,9
SO-202410-00071,CUST-017,Weldon Kitchen,Distributor Resale,2024-10-27,Net 30,2024-11-26,33722.6,2024-11-29,3
SO-202410-00072,CUST-018,Pine Kitchen,Independent Restaurant,2024-10-15,Net 30,2024-11-14,42192.07,2024-11-21,7
SO-202410-00073,CUST-019,Birch Provisions,Independent Restaurant,2024-10-23,Net 30,2024-11-22,72714.97,2024-11-24,2
SO-202410-00074,CUST-020,Rushmoor Provisions,Independent Restaurant,2024-10-24,Net 30,2024-11-23,26753.01,2024-12-06,13
SO-202410-00075,CUST-021,Quarry Provisions,Independent Restaurant,2024-10-21,Net 15,2024-11-05,30574.46,2024-11-13,8
SO-202410-00076,CUST-022,Ockham Provisions,Distributor Resale,2024-10-18,Net 45,2024-12-02,18589.26,2024-12-06,4
SO-202410-00077,CUST-023,Ashford Grill,Independent Restaurant,2024-10-22,Net 30,2024-11-21,37465.7,2024-11-21,0
SO-202410-00078,CUST-024,Hollow Kitchen,Independent Restaurant,2024-10-25,Net 30,2024-11-24,17403.46,2024-11-25,1
SO-202410-00079,CUST-025,Pendry Food Hall,Restaurant Group,2024-10-13,Net 15,2024-10-28,33750.49,2024-11-01,4
SO-202410-00080,CUST-026,Old Tavern,Institutional,2024-10-12,Net 30,2024-11-11,55194.56,2024-11-20,9
SO-202410-00081,CUST-027,Wexley Dining Co,Hotel & Hospitality,2024-10-31,Net 30,2024-11-30,29799.96,2024-12-06,6
SO-202410-00082,CUST-028,Gilman Food Hall,Independent Restaurant,2024-10-16,Net 45,2024-11-30,35280.94,2024-12-04,4
SO-202410-00083,CUST-029,Pine Bistro,Hotel & Hospitality,2024-10-30,Net 45,2024-12-14,28628.04,2024-12-16,2
SO-202410-00084,CUST-030,Norwood Food Hall,Independent Restaurant,2024-10-11,Net 15,2024-10-26,36519.42,2024-10-25,-1
SO-202410-00085,CUST-031,Sutton Eatery,Independent Restaurant,2024-10-14,Net 30,2024-11-13,24726.32,2024-11-18,5
SO-202410-00086,CUST-032,Ashford Dining Co,Institutional,2024-10-14,Net 30,2024-11-13,40583.12,2024-11-22,9
SO-202410-00087,CUST-033,Norwood Tavern,Independent Restaurant,2024-10-24,Net 15,2024-11-08,35832.59,2024-11-16,8
SO-202410-00088,CUST-034,Ravensworth Eatery,Independent Restaurant,2024-10-23,Net 15,2024-11-07,47889.2,2024-11-14,7
SO-202410-00089,CUST-035,Hollow Tavern,Independent Restaurant,2024-10-29,Net 45,2024-12-13,41204.32,2024-12-16,3
SO-202410-00090,CUST-036,Tarleton Food Hall,Independent Restaurant,2024-10-09,Net 30,2024-11-08,15952.82,2024-11-11,3
SO-202410-00091,CUST-037,Tarleton Grill,Institutional,2024-10-11,Net 45,2024-11-25,30983.98,2024-12-02,7
SO-202410-00092,CUST-038,Old Tavern,Independent Restaurant,2024-10-09,Net 15,2024-10-24,25596.46,2024-11-03,10
SO-202410-00093,CUST-039,Hartwell Kitchen,Institutional,2024-10-31,Net 15,2024-11-15,48023.95,2024-11-22,7
SO-202410-00094,CUST-040,Marlow Hospitality Group,Restaurant Group,2024-10-23,Net 30,2024-11-22,24045.08,2024-12-03,11
SO-202410-00095,CUST-041,Quarry Dining Co,Distributor Resale,2024-10-21,Net 15,2024-11-05,33403.83,2024-11-06,1
SO-202410-00096,CUST-042,Tarleton Grill,Independent Restaurant,2024-10-15,Net 15,2024-10-30,27075.78,2024-10-27,-3
SO-202410-00097,CUST-043,Quarry Provisions,Independent Restaurant,2024-10-09,Net 30,2024-11-08,37693.21,2024-11-15,7
SO-202410-00098,CUST-044,Fairhaven Provisions,Distributor Resale,2024-10-06,Net 15,2024-10-21,28254.75,2024-10-23,2
SO-202410-00099,CUST-045,Weldon Grill,Hotel & Hospitality,2024-10-14,Net 30,2024-11-13,34553.97,2024-11-20,7
SO-202410-00100,CUST-046,Fairhaven Bistro,Institutional,2024-10-17,Net 30,2024-11-16,29602.31,2024-12-02,16
SO-202410-00101,CUST-023,Ashford Grill,Independent Restaurant,2024-10-03,Net 30,2024-11-02,34045.68,2024-11-07,5
SO-202410-00102,CUST-035,Hollow Tavern,Independent Restaurant,2024-10-06,Net 45,2024-11-20,19650.13,2024-11-27,7
SO-202410-00103,CUST-022,Ockham Provisions,Distributor Resale,2024-10-12,Net 45,2024-11-26,21236.53,2024-12-04,8
SO-202410-00104,CUST-020,Rushmoor Provisions,Independent Restaurant,2024-10-15,Net 30,2024-11-14,23107.84,2024-11-21,7
SO-202410-00105,CUST-042,Tarleton Grill,Independent Restaurant,2024-10-22,Net 15,2024-11-06,22493.01,2024-11-07,1
SO-202410-00106,CUST-029,Pine Bistro,Hotel & Hospitality,2024-10-05,Net 45,2024-11-19,23015.22,2024-11-22,3
SO-202410-00107,CUST-036,Tarleton Food Hall,Independent Restaurant,2024-10-09,Net 30,2024-11-08,20406.11,2024-11-10,2
SO-202411-00108,CUST-001,Copper Fork Group,Restaurant Group,2024-11-20,Net 45,2025-01-04,103823.11,2025-01-11,7
SO-202411-00109,CUST-002,Harborline Hospitality,Hotel & Hospitality,2024-11-22,Net 30,2024-12-22,89644.36,2024-12-26,4
SO-202411-00110,CUST-003,Vaughn & Sons Restaurant Co,Restaurant Group,2024-11-10,Net 45,2024-12-25,92370.96,2024-12-28,3
SO-202411-00111,CUST-004,Meridian Public Schools,Institutional,2024-11-24,Net 60,2025-01-23,96214.84,2025-02-03,11
SO-202411-00112,CUST-005,Bright Harbor Hotels,Hotel & Hospitality,2024-11-11,Net 30,2024-12-11,54525.54,2024-12-11,0
SO-202411-00113,CUST-006,Ridgeline Kitchens Group,Restaurant Group,2024-11-28,Net 30,2024-12-28,65244.37,2025-01-06,9
SO-202411-00114,CUST-007,Ashgrove Dining Partners,Restaurant Group,2024-11-09,Net 45,2024-12-24,50060.93,2024-12-23,-1
SO-202411-00115,CUST-008,Northfield Medical Center,Institutional,2024-11-13,Net 60,2025-01-12,53202.99,2025-01-18,6
SO-202411-00116,CUST-009,Stonecrest Resale Supply,Distributor Resale,2024-11-13,Net 30,2024-12-13,49302.4,2024-12-17,4
SO-202411-00117,CUST-010,Lakeside Catering Co,Independent Restaurant,2024-11-05,Net 30,2024-12-05,46614.61,2024-12-07,2
SO-202411-00118,CUST-011,Sutton Kitchen,Institutional,2024-11-14,Net 45,2024-12-29,22899.29,2025-01-12,14
SO-202411-00119,CUST-012,Pendry Bistro,Institutional,2024-11-14,Net 45,2024-12-29,37041.68,2025-01-02,4
SO-202411-00120,CUST-013,Brackley Public House,Restaurant Group,2024-11-18,Net 15,2024-12-03,49548.47,2024-12-06,3
SO-202411-00121,CUST-014,Sutton Dining Co,Hotel & Hospitality,2024-11-02,Net 30,2024-12-02,21260.67,2024-12-14,12
SO-202411-00122,CUST-015,Pelham Dining Co,Restaurant Group,2024-11-16,Net 15,2024-12-01,35563.37,2024-11-28,-3
SO-202411-00123,CUST-016,Marbury Food Hall,Restaurant Group,2024-11-25,Net 30,2024-12-25,26504.98,2025-01-02,8
SO-202411-00124,CUST-017,Weldon Kitchen,Distributor Resale,2024-11-09,Net 30,2024-12-09,40686.85,2024-12-13,4
SO-202411-00125,CUST-018,Pine Kitchen,Independent Restaurant,2024-11-13,Net 30,2024-12-13,48244.54,2024-12-15,2
SO-202411-00126,CUST-019,Birch Provisions,Independent Restaurant,2024-11-08,Net 30,2024-12-08,59595.17,2024-12-11,3
SO-202411-00127,CUST-020,Rushmoor Provisions,Independent Restaurant,2024-11-22,Net 30,2024-12-22,34162.82,2025-01-03,12
SO-202411-00128,CUST-021,Quarry Provisions,Independent Restaurant,2024-11-22,Net 15,2024-12-07,27740.16,2024-12-10,3
SO-202411-00129,CUST-022,Ockham Provisions,Distributor Resale,2024-11-22,Net 45,2025-01-06,16500.78,2025-01-17,11
SO-202411-00130,CUST-023,Ashford Grill,Independent Restaurant,2024-11-09,Net 30,2024-12-09,35118.94,2024-12-06,-3
SO-202411-00131,CUST-024,Hollow Kitchen,Independent Restaurant,2024-11-22,Net 30,2024-12-22,29130.71,2024-12-26,4
SO-202411-00132,CUST-025,Pendry Food Hall,Restaurant Group,2024-11-19,Net 15,2024-12-04,31605.31,2024-12-15,11
SO-202411-00133,CUST-026,Old Tavern,Institutional,2024-11-22,Net 30,2024-12-22,39946.62,2024-12-31,9
SO-202411-00134,CUST-027,Wexley Dining Co,Hotel & Hospitality,2024-11-23,Net 30,2024-12-23,42482.48,2024-12-27,4
SO-202411-00135,CUST-028,Gilman Food Hall,Independent Restaurant,2024-11-02,Net 45,2024-12-17,33690.46,2024-12-19,2
SO-202411-00136,CUST-029,Pine Bistro,Hotel & Hospitality,2024-11-21,Net 45,2025-01-05,37170.62,2025-01-08,3
SO-202411-00137,CUST-030,Norwood Food Hall,Independent Restaurant,2024-11-23,Net 15,2024-12-08,31194.62,2024-12-07,-1
SO-202411-00138,CUST-031,Sutton Eatery,Independent Restaurant,2024-11-25,Net 30,2024-12-25,27130.87,2024-12-28,3
SO-202411-00139,CUST-032,Ashford Dining Co,Institutional,2024-11-13,Net 30,2024-12-13,68446.91,2024-12-21,8
SO-202411-00140,CUST-033,Norwood Tavern,Independent Restaurant,2024-11-22,Net 15,2024-12-07,47612.9,2024-12-12,5
SO-202411-00141,CUST-034,Ravensworth Eatery,Independent Restaurant,2024-11-18,Net 15,2024-12-03,44590.84,2024-12-08,5
SO-202411-00142,CUST-035,Hollow Tavern,Independent Restaurant,2024-11-05,Net 45,2024-12-20,44165.74,2024-12-27,7
SO-202411-00143,CUST-036,Tarleton Food Hall,Independent Restaurant,2024-11-19,Net 30,2024-12-19,23653.27,2024-12-26,7
SO-202411-00144,CUST-037,Tarleton Grill,Institutional,2024-11-15,Net 45,2024-12-30,49579.23,2025-01-06,7
SO-202411-00145,CUST-038,Old Tavern,Independent Restaurant,2024-11-22,Net 15,2024-12-07,31465.36,2024-12-15,8
SO-202411-00146,CUST-039,Hartwell Kitchen,Institutional,2024-11-11,Net 15,2024-11-26,42150.28,2024-12-07,11
SO-202411-00147,CUST-040,Marlow Hospitality Group,Restaurant Group,2024-11-17,Net 30,2024-12-17,24711.94,2024-12-25,8
SO-202411-00148,CUST-041,Quarry Dining Co,Distributor Resale,2024-11-25,Net 15,2024-12-10,38649.7,2024-12-12,2
SO-202411-00149,CUST-042,Tarleton Grill,Independent Restaurant,2024-11-17,Net 15,2024-12-02,35074.22,2024-12-04,2
SO-202411-00150,CUST-043,Quarry Provisions,Independent Restaurant,2024-11-30,Net 30,2024-12-30,43604.08,2025-01-06,7
SO-202411-00151,CUST-044,Fairhaven Provisions,Distributor Resale,2024-11-15,Net 15,2024-11-30,52127.09,2024-12-08,8
SO-202411-00152,CUST-045,Weldon Grill,Hotel & Hospitality,2024-11-20,Net 30,2024-12-20,40374.55,2024-12-28,8
SO-202411-00153,CUST-046,Fairhaven Bistro,Institutional,2024-11-24,Net 30,2024-12-24,44636.36,2025-01-05,12
SO-202411-00154,CUST-023,Ashford Grill,Independent Restaurant,2024-11-18,Net 30,2024-12-18,19985.06,2024-12-16,-2
SO-202411-00155,CUST-035,Hollow Tavern,Independent Restaurant,2024-11-01,Net 45,2024-12-16,20670.53,2024-12-26,10
SO-202411-00156,CUST-022,Ockham Provisions,Distributor Resale,2024-11-23,Net 45,2025-01-07,17454.6,2025-01-12,5
SO-202411-00157,CUST-020,Rushmoor Provisions,Independent Restaurant,2024-11-26,Net 30,2024-12-26,30504.85,2025-01-02,7
SO-202411-00158,CUST-042,Tarleton Grill,Independent Restaurant,2024-11-19,Net 15,2024-12-04,31759.67,2024-12-06,2
SO-202411-00159,CUST-029,Pine Bistro,Hotel & Hospitality,2024-11-07,Net 45,2024-12-22,24333.71,2024-12-30,8
SO-202411-00160,CUST-036,Tarleton Food Hall,Independent Restaurant,2024-11-02,Net 30,2024-12-02,31692.1,2024-12-07,5
SO-202412-00161,CUST-001,Copper Fork Group,Restaurant Group,2024-12-29,Net 45,2025-02-12,124449.93,2025-02-17,5
SO-202412-00162,CUST-002,Harborline Hospitality,Hotel & Hospitality,2024-12-10,Net 30,2025-01-09,86842.55,2025-01-12,3
SO-202412-00163,CUST-003,Vaughn & Sons Restaurant Co,Restaurant Group,2024-12-17,Net 45,2025-01-31,61781.09,2025-02-07,7
SO-202412-00164,CUST-004,Meridian Public Schools,Institutional,2024-12-19,Net 60,2025-02-17,81831.02,2025-03-03,14
SO-202412-00165,CUST-005,Bright Harbor Hotels,Hotel & Hospitality,2024-12-16,Net 30,2025-01-15,66391.67,2025-01-12,-3
SO-202412-00166,CUST-006,Ridgeline Kitchens Group,Restaurant Group,2024-12-21,Net 30,2025-01-20,55281.07,2025-01-29,9
SO-202412-00167,CUST-007,Ashgrove Dining Partners,Restaurant Group,2024-12-08,Net 45,2025-01-22,54315.51,2025-01-28,6
SO-202412-00168,CUST-008,Northfield Medical Center,Institutional,2024-12-25,Net 60,2025-02-23,39294.65,2025-03-05,10
SO-202412-00169,CUST-009,Stonecrest Resale Supply,Distributor Resale,2024-12-12,Net 30,2025-01-11,41050.35,2025-01-16,5
SO-202412-00170,CUST-010,Lakeside Catering Co,Independent Restaurant,2024-12-29,Net 30,2025-01-28,41080.5,2025-02-05,8
SO-202412-00171,CUST-011,Sutton Kitchen,Institutional,2024-12-06,Net 45,2025-01-20,18421.68,2025-02-02,13
SO-202412-00172,CUST-012,Pendry Bistro,Institutional,2024-12-28,Net 45,2025-02-11,26107.44,2025-02-20,9
SO-202412-00173,CUST-013,Brackley Public House,Restaurant Group,2024-12-06,Net 15,2024-12-21,40424.78,2024-12-26,5
SO-202412-00174,CUST-014,Sutton Dining Co,Hotel & Hospitality,2024-12-05,Net 30,2025-01-04,16688.04,2025-01-12,8
SO-202412-00175,CUST-015,Pelham Dining Co,Restaurant Group,2024-12-19,Net 15,2025-01-03,41039.52,2025-01-08,5
SO-202412-00176,CUST-016,Marbury Food Hall,Restaurant Group,2024-12-27,Net 30,2025-01-26,24264.64,2025-02-02,7
SO-202412-00177,CUST-017,Weldon Kitchen,Distributor Resale,2024-12-09,Net 30,2025-01-08,33215.7,2025-01-15,7
SO-202412-00178,CUST-018,Pine Kitchen,Independent Restaurant,2024-12-14,Net 30,2025-01-13,40083.79,2025-01-24,11
SO-202412-00179,CUST-019,Birch Provisions,Independent Restaurant,2024-12-13,Net 30,2025-01-12,41172.23,2025-01-15,3
SO-202412-00180,CUST-020,Rushmoor Provisions,Independent Restaurant,2024-12-15,Net 30,2025-01-14,21912.03,2025-01-24,10
SO-202412-00181,CUST-021,Quarry Provisions,Independent Restaurant,2024-12-24,Net 15,2025-01-08,32022.15,2025-01-11,3
SO-202412-00182,CUST-022,Ockham Provisions,Distributor Resale,2024-12-09,Net 45,2025-01-23,20094.27,2025-02-02,10
SO-202412-00183,CUST-023,Ashford Grill,Independent Restaurant,2024-12-07,Net 30,2025-01-06,27609.18,2025-01-04,-2
SO-202412-00184,CUST-024,Hollow Kitchen,Independent Restaurant,2024-12-29,Net 30,2025-01-28,19549.71,2025-02-03,6
SO-202412-00185,CUST-025,Pendry Food Hall,Restaurant Group,2024-12-15,Net 15,2024-12-30,28975.41,2025-01-07,8
SO-202412-00186,CUST-026,Old Tavern,Institutional,2024-12-07,Net 30,2025-01-06,31193.59,2025-01-23,17
SO-202412-00187,CUST-027,Wexley Dining Co,Hotel & Hospitality,2024-12-25,Net 30,2025-01-24,31754.87,2025-01-27,3
SO-202412-00188,CUST-028,Gilman Food Hall,Independent Restaurant,2024-12-19,Net 45,2025-02-02,44880.79,2025-02-09,7
SO-202412-00189,CUST-029,Pine Bistro,Hotel & Hospitality,2024-12-19,Net 45,2025-02-02,27741.82,2025-02-04,2
SO-202412-00190,CUST-030,Norwood Food Hall,Independent Restaurant,2024-12-10,Net 15,2024-12-25,24095.79,2024-12-29,4
SO-202412-00191,CUST-031,Sutton Eatery,Independent Restaurant,2024-12-23,Net 30,2025-01-22,20307.71,2025-01-25,3
SO-202412-00192,CUST-032,Ashford Dining Co,Institutional,2024-12-26,Net 30,2025-01-25,54462.06,2025-02-07,13
SO-202412-00193,CUST-033,Norwood Tavern,Independent Restaurant,2024-12-01,Net 15,2024-12-16,50277.69,2024-12-25,9
SO-202412-00194,CUST-034,Ravensworth Eatery,Independent Restaurant,2024-12-03,Net 15,2024-12-18,36055.89,2024-12-29,11
SO-202412-00195,CUST-035,Hollow Tavern,Independent Restaurant,2024-12-30,Net 45,2025-02-13,36586.65,2025-02-18,5
SO-202412-00196,CUST-036,Tarleton Food Hall,Independent Restaurant,2024-12-19,Net 30,2025-01-18,13185.68,2025-01-17,-1
SO-202412-00197,CUST-037,Tarleton Grill,Institutional,2024-12-19,Net 45,2025-02-02,41952.25,2025-02-09,7
SO-202412-00198,CUST-038,Old Tavern,Independent Restaurant,2024-12-30,Net 15,2025-01-14,21763.34,2025-01-26,12
SO-202412-00199,CUST-039,Hartwell Kitchen,Institutional,2024-12-01,Net 15,2024-12-16,53800.67,2024-12-28,12
SO-202412-00200,CUST-040,Marlow Hospitality Group,Restaurant Group,2024-12-01,Net 30,2024-12-31,33680.71,2025-01-10,10
SO-202412-00201,CUST-041,Quarry Dining Co,Distributor Resale,2024-12-13,Net 15,2024-12-28,20976.9,2025-01-03,6
SO-202412-00202,CUST-042,Tarleton Grill,Independent Restaurant,2024-12-21,Net 15,2025-01-05,28931.02,2025-01-06,1
SO-202412-00203,CUST-043,Quarry Provisions,Independent Restaurant,2024-12-01,Net 30,2024-12-31,56620.04,2025-01-01,1
SO-202412-00204,CUST-044,Fairhaven Provisions,Distributor Resale,2024-12-15,Net 15,2024-12-30,33172.85,2025-01-06,7
SO-202412-00205,CUST-045,Weldon Grill,Hotel & Hospitality,2024-12-23,Net 30,2025-01-22,33470.41,2025-01-27,5
SO-202412-00206,CUST-046,Fairhaven Bistro,Institutional,2024-12-24,Net 30,2025-01-23,24352.39,2025-02-10,18
SO-202412-00207,CUST-023,Ashford Grill,Independent Restaurant,2024-12-20,Net 30,2025-01-19,42430.29,2025-01-17,-2
SO-202412-00208,CUST-035,Hollow Tavern,Independent Restaurant,2024-12-30,Net 45,2025-02-13,35345.9,2025-02-21,8
SO-202412-00209,CUST-022,Ockham Provisions,Distributor Resale,2024-12-20,Net 45,2025-02-03,30545.05,2025-02-06,3
